Date,Open,High,Low,Close,Adj Close,Volume
2019-05-29,141.410004,142.820007,138.940002,140.339996,139.854446,13995000
2019-05-30,140.309998,141.750000,137.570007,139.110001,138.786957,9857500
2019-05-31,137.139999,139.850006,135.389999,135.460007,135.145447,9743000
2019-06-03,135.910004,137.470001,132.600006,133.779999,133.469330,11966100
2019-06-04,136.360001,143.210007,135.470001,143.000000,142.667923,16045900
2019-06-05,145.970001,146.190002,139.820007,141.279999,140.951904,12790400
2019-06-06,141.449997,144.770004,141.350006,143.779999,143.446106,10203500
2019-06-07,144.020004,146.880005,143.250000,145.500000,145.162109,8721400
2019-06-10,147.759995,151.190002,147.759995,148.429993,148.085297,10069500
2019-06-11,150.839996,152.360001,149.160004,150.750000,150.399933,9596800
2019-06-12,149.000000,149.250000,145.589996,146.199997,145.860504,8950400
2019-06-13,147.089996,149.000000,146.380005,148.259995,147.915695,7702000
2019-06-14,144.509995,145.490005,142.839996,144.639999,144.304123,9860700
2019-06-17,144.570007,146.520004,143.649994,145.029999,144.693207,6901000
2019-06-18,147.500000,155.110001,147.059998,152.880005,152.524979,14548000
2019-06-19,154.300003,154.759995,152.070007,153.119995,152.764420,8291100
2019-06-20,156.770004,157.330002,153.520004,154.100006,153.742142,8754200
2019-06-21,153.500000,155.479996,151.500000,151.759995,151.407578,10860700
2019-06-24,152.619995,153.850006,150.720001,152.660004,152.305496,7073700
2019-06-25,152.860001,155.880005,151.369995,151.479996,151.128220,7796700
2019-06-26,156.610001,161.720001,156.089996,159.259995,158.890152,14601800
2019-06-27,162.710007,164.000000,161.259995,163.229996,162.850937,11136000
2019-06-28,165.000000,165.369995,162.350006,164.229996,163.848618,9941700
2019-07-01,172.570007,173.949997,164.660004,166.169998,165.784119,17788300
2019-07-02,165.500000,166.350006,161.699997,162.229996,161.853256,10005700
2019-07-03,163.169998,163.399994,160.339996,162.750000,162.372055,6165900
2019-07-05,160.399994,160.580002,157.679993,160.229996,159.857910,9913800
2019-07-08,157.830002,158.589996,156.000000,157.210007,156.844940,8244700
2019-07-09,155.509995,158.440002,155.000000,157.309998,156.944702,8571500
2019-07-10,159.059998,162.369995,158.500000,160.059998,159.688309,11301900
2019-07-11,163.000000,167.919998,161.500000,166.279999,165.893860,17064000
2019-07-12,167.399994,170.470001,167.399994,167.610001,167.220779,12659800
2019-07-15,168.460007,169.110001,166.130005,167.270004,166.881561,7246000
2019-07-16,166.669998,168.169998,164.839996,167.080002,166.692001,8536100
2019-07-17,167.149994,169.990005,165.970001,169.710007,169.315903,8705100
2019-07-18,170.130005,172.710007,167.850006,170.179993,169.784805,11079500
2019-07-19,171.720001,171.979996,168.199997,168.440002,168.048843,8622400
2019-07-22,169.300003,171.839996,169.000000,171.320007,170.922165,7898500
2019-07-23,172.899994,175.740005,172.270004,175.660004,175.252075,10704400
2019-07-24,177.399994,178.889999,174.339996,178.660004,178.245117,9155900
2019-07-25,176.990005,177.500000,172.440002,173.380005,172.977371,9817500
2019-07-26,174.470001,176.949997,174.470001,175.070007,174.663467,6854000
2019-07-29,174.779999,175.470001,171.270004,174.820007,174.414032,6204000
2019-07-30,172.949997,175.940002,172.369995,175.449997,175.042572,4944300
2019-07-31,174.179993,174.220001,167.020004,168.720001,168.328186,8985400
2019-08-01,169.139999,172.779999,162.820007,164.919998,164.537018,10530300
2019-08-02,161.190002,163.979996,159.279999,161.190002,160.815674,10708700
2019-08-05,153.800003,153.850006,148.899994,150.789993,150.439835,14728900
2019-08-06,153.800003,155.630005,150.429993,152.350006,151.996216,9031800
2019-08-07,149.899994,154.369995,149.199997,153.889999,153.532639,9314000
2019-08-08,156.210007,158.309998,153.899994,158.259995,157.892487,7732500
2019-08-09,156.610001,156.750000,152.149994,154.179993,153.821945,8545400
2019-08-12,152.080002,154.179993,150.570007,151.449997,151.098297,6980000
2019-08-13,151.389999,157.899994,149.820007,156.050003,155.687622,8798900
2019-08-14,152.500000,152.949997,148.309998,150.070007,149.721512,10497000
2019-08-15,150.830002,151.630005,147.389999,148.770004,148.424515,11930000
2019-08-16,159.350006,161.539993,156.880005,159.559998,159.189468,25199000
2019-08-19,164.119995,171.419998,163.470001,170.779999,170.383408,20377800
2019-08-20,170.559998,170.580002,167.020004,167.869995,167.480148,11579700
2019-08-21,170.529999,173.449997,169.660004,171.229996,170.832367,10681100
2019-08-22,171.619995,173.330002,169.899994,171.479996,171.081772,7587200
2019-08-23,168.399994,170.589996,161.639999,162.440002,162.062790,14201400
2019-08-26,165.610001,166.580002,163.910004,165.449997,165.065781,7955200
2019-08-27,166.990005,167.100006,160.619995,161.800003,161.424271,7274200
2019-08-28,160.580002,163.339996,159.000000,161.220001,161.004837,6390300
2019-08-29,164.899994,168.300003,164.759995,167.000000,166.777115,8949400
2019-08-30,168.860001,170.860001,166.779999,167.509995,167.286438,7265400
2019-09-03,164.580002,165.910004,163.250000,164.169998,163.950882,7403500
2019-09-04,166.610001,169.059998,166.610001,168.759995,168.534760,5693200
2019-09-05,172.869995,179.990005,172.800003,179.740005,179.500122,17391900
2019-09-06,178.800003,181.089996,177.119995,178.649994,178.411560,9424400
2019-09-09,179.899994,183.979996,179.839996,180.500000,180.259094,10438100
2019-09-10,179.179993,184.250000,178.789993,183.179993,182.935516,8820300
2019-09-11,183.770004,186.270004,182.600006,184.330002,184.083984,9037800
2019-09-12,186.199997,188.399994,183.949997,184.270004,184.024063,8196000
2019-09-13,181.589996,183.080002,180.179993,181.940002,181.697189,8114800
2019-09-16,178.919998,181.600006,178.500000,180.210007,179.969482,5795800
2019-09-17,180.479996,181.240005,178.610001,181.070007,180.828354,5576200
2019-09-18,180.789993,181.419998,176.500000,179.979996,179.739777,6453800
2019-09-19,180.220001,180.960007,176.509995,176.940002,176.703842,6136900
2019-09-20,176.899994,177.850006,172.279999,172.690002,172.459534,8756100
2019-09-23,172.699997,176.669998,172.550003,174.839996,174.606659,6242800
2019-09-24,176.100006,177.289993,171.100006,172.529999,172.299728,7931700
2019-09-25,172.509995,179.020004,170.710007,178.229996,177.992126,7710800
2019-09-26,177.839996,178.190002,175.289993,177.339996,177.103317,5864100
2019-09-27,175.660004,177.699997,169.320007,171.759995,171.530762,9051400
2019-09-30,172.800003,174.479996,171.539993,174.070007,173.837692,4654600
2019-10-01,175.000000,181.000000,173.809998,174.000000,173.767761,9150200
2019-10-02,173.119995,173.600006,170.130005,173.039993,172.809052,7334300
2019-10-03,173.220001,181.559998,172.000000,181.309998,181.068008,11264700
2019-10-04,181.399994,183.149994,178.779999,181.970001,181.727127,6638100
2019-10-07,184.580002,188.339996,184.229996,184.330002,184.083984,12024600
2019-10-08,180.639999,180.639999,176.500000,177.229996,176.993454,11110900
2019-10-09,180.320007,182.699997,179.160004,180.710007,180.468826,7310300
2019-10-10,180.619995,185.080002,180.410004,183.029999,182.785721,7728100
2019-10-11,186.410004,189.339996,185.649994,185.990005,185.741776,11160100
2019-10-14,185.639999,187.369995,184.389999,186.529999,186.281052,5001000
2019-10-15,190.160004,199.289993,189.600006,196.369995,196.107910,16603100
2019-10-16,195.000000,199.220001,193.750000,194.210007,193.950806,10723600
2019-10-17,196.000000,197.809998,192.100006,194.289993,194.030685,6585900
2019-10-18,194.309998,195.619995,187.500000,190.490005,190.235764,7686000
2019-10-21,192.960007,196.550003,192.199997,196.009995,195.748398,6546700
2019-10-22,198.300003,202.529999,195.300003,195.610001,195.348923,8218000
2019-10-23,192.309998,195.660004,191.029999,195.089996,194.829620,6997900
2019-10-24,196.750000,198.210007,195.380005,196.860001,196.597275,5800500
2019-10-25,200.100006,205.380005,199.789993,204.539993,204.267014,10577300
2019-10-28,206.300003,208.899994,205.119995,206.789993,206.514008,8269800
2019-10-29,206.229996,206.490005,202.139999,202.919998,202.649170,5280900
2019-10-30,204.000000,204.229996,200.259995,203.000000,202.729065,5149000
2019-10-31,202.160004,203.000000,197.809998,201.020004,200.751724,5243300
2019-11-01,199.600006,203.889999,198.589996,202.589996,202.319611,7091000
2019-11-04,205.850006,211.000000,204.919998,210.500000,210.219070,9417900
2019-11-05,210.490005,211.539993,207.679993,209.610001,209.330246,7521700
2019-11-06,208.639999,209.669998,204.110001,207.630005,207.352890,6725300
2019-11-07,211.110001,211.699997,206.539993,208.339996,208.061935,7008500
2019-11-08,207.660004,209.050003,206.149994,207.779999,207.502686,4727500
2019-11-11,207.750000,209.110001,204.279999,208.179993,207.902145,6085900
2019-11-12,209.720001,211.860001,208.309998,209.610001,209.330246,7087600
2019-11-13,208.350006,209.460007,205.899994,208.570007,208.291641,7504700
2019-11-14,208.929993,209.880005,206.520004,209.789993,209.509995,12952000
2019-11-15,209.699997,211.779999,200.639999,204.190002,203.917480,26340700
2019-11-18,203.889999,213.350006,203.770004,212.279999,211.996689,14364700
2019-11-19,211.029999,211.979996,205.649994,207.990005,207.712418,10364100
2019-11-20,207.070007,214.550003,206.559998,211.179993,210.898148,11814700
2019-11-21,211.000000,213.240005,209.309998,210.179993,209.899475,7209700
2019-11-22,211.089996,212.960007,209.940002,210.889999,210.608536,5602500
2019-11-25,216.039993,221.410004,215.520004,221.210007,220.914764,12661900
2019-11-26,220.500000,220.690002,216.740005,217.000000,216.710373,9631100
2019-11-27,218.669998,220.050003,217.179993,218.240005,218.109543,5394600
2019-11-29,217.000000,218.139999,215.779999,216.740005,216.610443,3538900
2019-12-02,216.460007,217.000000,208.639999,209.250000,209.124908,9300900
2019-12-03,201.869995,207.820007,200.369995,207.660004,207.535873,11630800
2019-12-04,211.020004,211.919998,208.270004,209.419998,209.294815,6835600
2019-12-05,210.300003,210.929993,207.509995,208.740005,208.615219,4622100
2019-12-06,211.520004,213.490005,211.119995,212.169998,212.043167,5805900
2019-12-09,211.250000,214.369995,210.899994,212.169998,212.043167,5297000
2019-12-10,213.380005,216.059998,211.259995,213.979996,213.852081,6409700
2019-12-11,214.399994,217.559998,214.300003,217.339996,217.210083,5844900
2019-12-12,216.179993,224.800003,215.820007,224.070007,223.936066,10108700
2019-12-13,224.190002,228.979996,221.820007,223.990005,223.856110,11367600
2019-12-16,225.899994,228.059998,224.770004,225.149994,225.015411,8024400
2019-12-17,225.899994,229.199997,225.520004,228.289993,228.153534,8029900
2019-12-18,229.690002,231.940002,229.350006,229.509995,229.372803,8588700
2019-12-19,230.899994,236.000000,230.699997,235.460007,235.319260,11134000
2019-12-20,238.130005,240.389999,237.360001,239.369995,239.226898,15076100
2019-12-23,240.520004,241.809998,238.389999,238.820007,238.677246,8876500
2019-12-24,238.199997,239.309998,236.820007,238.619995,238.477356,3471600
2019-12-26,238.759995,240.320007,238.000000,239.190002,239.047028,4571300
2019-12-27,239.800003,240.339996,235.809998,236.869995,236.728394,6366100
2019-12-30,235.990005,236.199997,231.059998,232.320007,232.181137,6451400
2019-12-31,230.899994,235.679993,230.130005,235.300003,235.159348,5775100
2020-01-02,238.750000,239.910004,236.720001,239.910004,239.766586,5938400
2020-01-03,235.100006,237.830002,234.100006,236.070007,235.928894,5134600
2020-01-06,232.320007,237.270004,231.270004,237.059998,236.918289,6565900
2020-01-07,238.199997,241.770004,236.389999,239.929993,239.786575,7871400
2020-01-08,239.759995,242.039993,238.149994,240.380005,240.236313,6927700
2020-01-09,243.850006,245.929993,240.860001,243.020004,242.874741,6377800
2020-01-10,247.330002,248.550003,243.750000,244.320007,244.173965,7907400
2020-01-13,247.660004,252.990005,246.750000,251.979996,251.829361,7996000
2020-01-14,250.259995,251.279999,246.750000,247.279999,247.132187,8977200
2020-01-15,247.789993,248.690002,244.529999,245.570007,245.423218,6577600
2020-01-16,247.720001,249.169998,246.779999,248.929993,248.781189,7104800
2020-01-17,249.699997,250.000000,247.369995,249.279999,249.130981,6344800
2020-01-21,247.809998,249.289993,246.570007,247.940002,247.791794,5447900
2020-01-22,249.759995,253.589996,249.000000,250.110001,249.960495,5981000
2020-01-23,251.720001,253.199997,248.149994,252.860001,252.708847,6112900
2020-01-24,257.500000,259.500000,248.300003,250.479996,250.330261,9337800
2020-01-27,238.240005,242.250000,232.229996,240.199997,240.056412,11763400
2020-01-28,242.850006,249.270004,240.710007,247.970001,247.821777,7774400
2020-01-29,247.389999,248.839996,243.940002,245.539993,245.393219,6471200
2020-01-30,241.610001,246.350006,239.399994,245.809998,245.663055,7262600
2020-01-31,243.970001,244.449997,234.750000,236.429993,236.288666,9260500
2020-02-03,235.699997,241.110001,235.449997,240.330002,240.186340,6398200
2020-02-04,246.029999,247.899994,244.020004,247.130005,246.982269,6788600
